Category Target

* Can adjust only value column *

Category (MCH3) Code,Category (MCH3),Data Display,Jan *,Feb *,Mar *,Apr *,May *,Jun *,Jul *,Aug *,Sep *,Oct *,Nov *,Dec *,Total
A,เฟอร์นิเจอร์และอุปกรณ์ตกแต่งบ้าน,TARGET 2024 CURRENT,,,,,,,,,,,,,0
A,เฟอร์นิเจอร์และอุปกรณ์ตกแต่งบ้าน,TARGET 2024 ADJUSTMENT *,,,,,,,,,,,,,0
C,วัสดุปูพื้นและผนัง,ACTUAL 2020,5273320.89,5870625.38,7261407.02,7371646.58,7566789.37,7498635.43,9064905.91,10046168.72,8200506.07,7694271.45,7700053.09,8833181.39,92381511.30
C,วัสดุปูพื้นและผนัง,ACTUAL 2021,8954654.12,7057211.99,9809089.17,9604233.28,11715880.39,13490390.70,12819065.88,13006979.14,14066556.96,14716014.46,14225825.78,13755191.50,143221093.37
C,วัสดุปูพื้นและผนัง,ACTUAL 2022,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
C,วัสดุปูพื้นและผนัง,TARGET 2022 CURRENT,,,,76000.00,,200000.00,,,,,,,276000.00
C,วัสดุปูพื้นและผนัง,TARGET 2022 ADJUSTMENT *,,,,,,,,,,,,,0
C,วัสดุปูพื้นและผนัง,TARGET 2023 CURRENT,,,,,,,,,,,,,0
C,วัสดุปูพื้นและผนัง,TARGET 2023 ADJUSTMENT *,,,,,,,,,,,,,0
C,วัสดุปูพื้นและผนัง,TARGET 2024 CURRENT,,,,,,,,,,,,,0
C,วัสดุปูพื้นและผนัง,TARGET 2024 ADJUSTMENT *,,,,,,,,,,,,,0
P,สีและอุปกรณ์,ACTUAL 2020,1370166.20,1422300.35,1622032.43,2213896.65,2261467.46,3403588.71,3121486.92,2674236.95,3394489.13,3476108.05,2956651.44,3779117.50,31695541.79
P,สีและอุปกรณ์,ACTUAL 2021,4605710.99,4255130.69,4729399.30,4201503.90,4491177.05,5031039.23,5053707.17,5001853.19,4495399.57,5807509.90,4746162.63,5739097.83,58157691.45
P,สีและอุปกรณ์,ACTUAL 2022,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
P,สีและอุปกรณ์,TARGET 2022 CURRENT,,,,,,,,,,,,,0
P,สีและอุปกรณ์,TARGET 2022 ADJUSTMENT *,,,,,80000.00,80001.00,100000.00,,,,,,260001.00
P,สีและอุปกรณ์,TARGET 2023 CURRENT,,,,,,,,,,,,,0
P,สีและอุปกรณ์,TARGET 2023 ADJUSTMENT *,,,,22411.00,,,,,,,,,22411.00
P,สีและอุปกรณ์,TARGET 2024 CURRENT,,,,,,,,,,,,,0
P,สีและอุปกรณ์,TARGET 2024 ADJUSTMENT *,,,,,,,,,,,,,0
K,ห้องครัว,ACTUAL 2020,133941.00,68554.00,119022.00,128575.00,115123.20,202966.90,120820.60,161495.00,145971.50,70965.00,116610.25,106411.70,1490456.15
K,ห้องครัว,ACTUAL 2021,119352.85,91385.00,148403.75,172555.00,79550.10,230250.50,230308.40,431809.40,253430.50,279809.30,315709.44,230671.65,2583235.89
K,ห้องครัว,ACTUAL 2022,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
K,ห้องครัว,TARGET 2022 CURRENT,,,,,,60000.00,70000.00,50000.00,,,,,180000.00
K,ห้องครัว,TARGET 2022 ADJUSTMENT *,,,,,10000.00,,,,,,,,10000.00
K,ห้องครัว,TARGET 2023 CURRENT,,,,,,,,,,,,,0
K,ห้องครัว,TARGET 2023 ADJUSTMENT *,,,,,,,,,,,,,0
K,ห้องครัว,TARGET 2024 CURRENT,,,,,,,,,,,,,0
K,ห้องครัว,TARGET 2024 ADJUSTMENT *,,,,,,,,,,,,,0
